채무자 법인/개인사업자 구분,보증종료일자,사고사유,사업장지역상세,주택형태,임대보증금 금액,임대보증금 금액 대비 사고금액 (%),보증종료일자 기준 사고발생일자 소요일
개인사업자,2023-09-23,기간만료미반환,부산광역시 부산진구 안창로72번길 148,아파트,264000000,100.0,62
개인사업자,2023-11-22,기간만료미반환,서울특별시 강서구 곰달래로38길 20,기타(오피스텔),353000000,100.0,59
개인사업자,2024-10-25,기간만료미반환,경상남도 거제시 계룡로10길 16,다세대주택,319000000,100.0,-13
개인사업자,2023-04-30,기간만료미반환,부산광역시 수영구 연수로391번길 27,기타(오피스텔),265000000,100.0,62
개인사업자,2024-04-05,기간만료미반환,서울특별시 강서구 초록마을로28길 9,기타(오피스텔),235000000,100.0,62
개인사업자,2023-08-24,기간만료미반환,광주광역시 북구 동문대로97번길 3,다세대주택,260000000,100.0,0
개인사업자,2023-08-29,기간만료미반환,경기도 안양시 만안구 병목안로378번길 0,기타(오피스텔),309000000,100.0,-21
개인사업자,2022-09-10,기간만료미반환,부산광역시 부산진구 중앙번영로 14,다세대주택,299000000,100.0,97
개인사업자,2023-10-15,기간만료미반환,서울특별시 은평구 응암로18길 5,다세대주택,238000000,100.0,61
개인사업자,2023-05-03,기간만료미반환,경기도 수원시 팔달구 고화로10번길 0,기타(오피스텔),319000000,100.0,25
개인사업자,2023-05-09,기간만료미반환,광주광역시 북구 북문대로150번길 14,다세대주택,210000000,100.0,-33
개인사업자,2023-11-14,기간만료미반환,충청북도 충주시 후삼로 439,다세대주택,231000000,100.0,21
개인사업자,2024-05-24,기간만료미반환,경상북도 안동시 오무골길 68,기타(오피스텔),239000000,100.0,-36
개인사업자,2023-11-17,기간만료미반환,광주광역시 북구 자미로39번길 56,다세대주택,303000000,100.0,62
개인사업자,2023-08-17,기간만료미반환,서울특별시 강서구 까치산로12길 7,다세대주택,377000000,100.0,63
개인사업자,2023-11-11,기간만료미반환,전라남도 무안군 도산안길 13,다세대주택,263000000,100.0,62
개인사업자,2024-07-04,기간만료미반환,광주광역시 북구 복룡길38번길 30,기타(오피스텔),278000000,100.0,19
개인사업자,2023-06-24,기간만료미반환,대구광역시 달성군 서재로36길 15,기타(오피스텔),186950000,100.0,62
개인사업자,2024-10-04,기간만료미반환,서울특별시 관악구 성림2길 14,기타(오피스텔),225000000,100.0,-6
개인사업자,2024-07-03,기간만료미반환,광주광역시 광산구 구촌반촌길 281,다세대주택,278000000,100.0,61
개인사업자,2022-11-26,기간만료미반환,전라남도 광양시 구마3길 14,기타(오피스텔),240000000,100.0,92
개인사업자,2023-09-15,기간만료미반환,대구광역시 달성군 시저로5길 21,다세대주택,235000000,100.0,0
개인사업자,2025-02-21,기간만료미반환,서울특별시 강서구 등촌로13마길 17,다세대주택,344000000,100.0,12
개인사업자,2023-05-19,기간만료미반환,전라남도 무안군 남악4로34번길 31,다세대주택,229000000,100.0,-40
개인사업자,2023-03-30,기간만료미반환,전라남도 목포시 용샘길8번길 10,다세대주택,246750000,100.0,62
개인사업자,2023-04-08,기간만료미반환,,기타(오피스텔),260000000,100.0,-7
개인사업자,2024-05-01,기간만료미반환,서울특별시 금천구 독산로8다길 16,기타(오피스텔),239000000,100.0,20
개인사업자,2025-01-04,기간만료미반환,경기도 김포시 덕포진로130번길 216,기타(오피스텔),340000000,100.0,114
개인사업자,2023-06-17,기간만료미반환,서울특별시 관악구 호암로24가길 2,다세대주택,265000000,100.0,60
개인사업자,2023-11-22,기간만료미반환,부산광역시 해운대구 해운대로483번길 10,다세대주택,278000000,100.0,62
개인사업자,2024-02-03,기간만료미반환,서울특별시 강서구 공항대로3가길 18,기타(오피스텔),270000000,100.0,-26
개인사업자,2023-08-05,기간만료미반환,서울특별시 동대문구 전농로2나길 13,다세대주택,260000000,100.0,-18
개인사업자,2022-11-26,기간만료미반환,서울특별시 강서구 우장산로10길 112,다세대주택,250000000,100.0,60
개인사업자,2023-06-20,기간만료미반환,충청북도 충주시 지곡6길 44,기타(오피스텔),270000000,100.0,42
개인사업자,2023-05-26,기간만료미반환,대구광역시 달성군 문양역2길 7,기타(오피스텔),255000000,100.0,62
개인사업자,2023-02-19,기간만료미반환,부산광역시 부산진구 경마장로5번길 7,아파트,244000000,100.0,60
개인사업자,2024-03-13,기간만료미반환,서울특별시 구로구 안양천로537길 28,기타(오피스텔),252000000,100.0,62
개인사업자,2023-03-14,기간만료미반환,경상북도 영천시 신효로 134,다세대주택,293000000,100.0,67
개인사업자,2023-07-22,기간만료미반환,전라남도 무안군 무안용산길 35,다세대주택,250000000,100.0,65
개인사업자,2024-07-10,기간만료미반환,경상남도 거제시 지세포선창길 8,다세대주택,278000000,100.0,60
개인사업자,2023-05-27,기간만료미반환,서울특별시 강서구 공항대로2길 53,다세대주택,333900000,100.0,-71
개인사업자,2023-03-01,기간만료미반환,광주광역시 북구 용전마을길67번길 6,기타(오피스텔),263000000,100.0,92
개인사업자,2024-09-08,기간만료미반환,부산광역시 서구 감천로291번길 19,다세대주택,345000000,100.0,62
개인사업자,2022-12-18,기간만료미반환,부산광역시 사상구 사상로447번길 49,다세대주택,249000000,100.0,62
개인사업자,2023-09-07,기간만료미반환,부산광역시 중구 중구로65번길 26,다세대주택,299000000,100.0,61
개인사업자,2023-06-16,기간만료미반환,서울특별시 송파구 올림픽로35다길 33,다세대주택,350000000,100.0,62
개인사업자,2024-02-20,기간만료미반환,충청남도 아산시 선문로 335,다세대주택,240000000,100.0,-13
개인사업자,2023-11-07,기간만료미반환,광주광역시 광산구 산월로9번길 8,다세대주택,299000000,100.0,-31
개인사업자,2022-12-25,기간만료미반환,대구광역시 중구 서성로14길 12,다세대주택,328000000,100.0,3
개인사업자,2022-09-26,기간만료미반환,충청북도 충주시 거룡5길 2,기타(오피스텔),185000000,100.0,44
개인사업자,2023-05-06,기간만료미반환,서울특별시 동작구 신대방3길 23,다세대주택,179000000,100.0,17
개인사업자,2023-07-18,기간만료미반환,서울특별시 금천구 구로동로2다길 19,다세대주택,210000000,100.0,63
개인사업자,2023-01-31,기간만료미반환,서울특별시 관악구 신림로38길 1,기타(오피스텔),263000000,100.0,62
개인사업자,2023-12-04,기간만료미반환,서울특별시 양천구 화곡로 34,기타(오피스텔),230000000,100.0,49
개인사업자,2023-12-20,기간만료미반환,서울특별시 마포구 신촌로35길 4,기타(오피스텔),139200000,100.0,62
개인사업자,2023-07-26,기간만료미반환,경상북도 안동시 운골길 42,기타(오피스텔),354000000,100.0,61
개인사업자,2023-08-22,기간만료미반환,서울특별시 금천구 범안로18길 11,다세대주택,321000000,100.0,61
개인사업자,2024-02-14,기간만료미반환,서울특별시 동작구 사당로20사길 17,다세대주택,210000000,100.0,62
개인사업자,2023-03-05,기간만료미반환,서울특별시 관악구 난향16길 24,기타(오피스텔),347000000,100.0,35
개인사업자,2023-07-22,기간만료미반환,,기타(오피스텔),353000000,100.0,62
개인사업자,2023-04-08,기간만료미반환,서울특별시 금천구 디지털로 130,기타(오피스텔),267000000,100.0,-14
개인사업자,2023-07-06,기간만료미반환,충청남도 예산군 용궁신택길 87,기타(오피스텔),275000000,100.0,62
개인사업자,2024-02-20,기간만료미반환,경기도 수원시 팔달구 세류로112번길 0,다세대주택,331000000,100.0,62
개인사업자,2024-09-06,기간만료미반환,서울특별시 양천구 새곡2길 4,다세대주택,420000000,100.0,-27
개인사업자,2023-09-17,기간만료미반환,전라남도 광양시 관동길 37,기타(오피스텔),219000000,100.0,73
개인사업자,2024-09-22,기간만료미반환,광주광역시 북구 경열로212번길 6,다세대주택,365000000,100.0,41
개인사업자,2023-09-30,기간만료미반환,경기도 평택시 지제2길 11,다세대주택,259000000,100.0,62
개인사업자,2023-12-07,기간만료미반환,광주광역시 북구 호동로15번길 79,기타(오피스텔),358000000,100.0,62
개인사업자,2023-01-29,기간만료미반환,경기도 화성시 삼존서길 0,기타(오피스텔),300000000,100.0,62
개인사업자,2023-07-11,기간만료미반환,경기도 김포시 동을산로178번길 31,다세대주택,249000000,100.0,62
개인사업자,2024-09-23,기간만료미반환,서울특별시 구로구 디지털로32가길 76,다세대주택,241000000,100.0,-17
개인사업자,2023-11-25,기간만료미반환,대구광역시 달성군 문산1길 6,다세대주택,295000000,100.0,62
개인사업자,2023-11-29,기간만료미반환,서울특별시 중구 퇴계로81가길 9,기타(오피스텔),252000000,100.0,61
개인사업자,2024-03-10,기간만료미반환,서울특별시 강서구 초록마을로8길 81,다세대주택,228000000,100.0,60
개인사업자,2023-10-08,기간만료미반환,서울특별시 강동구 천호대로187길 73,기타(오피스텔),269000000,100.0,11
개인사업자,2023-05-17,기간만료미반환,부산광역시 동래구 금강로10번길 10,다세대주택,239000000,100.0,61
개인사업자,2024-06-08,기간만료미반환,서울특별시 강서구 곰달래로15길 18,다세대주택,330000000,100.0,62
개인사업자,2024-04-13,기간만료미반환,충청북도 충주시 상단2길 47,기타(오피스텔),263000000,100.0,96
개인사업자,2024-07-14,기간만료미반환,서울특별시 영등포구 대림로34바길 4,기타(오피스텔),219000000,100.0,137
개인사업자,2023-08-26,기간만료미반환,전라남도 목포시 영산로75번길 16,다세대주택,275000000,100.0,62
개인사업자,2023-01-06,기간만료미반환,전라남도 장성군 오작로 428,다세대주택,265000000,100.0,63
개인사업자,2023-07-20,기간만료미반환,서울특별시 관악구 보라매로5길 5,다세대주택,320000000,100.0,61
개인사업자,2023-02-28,기간만료미반환,서울특별시 강서구 방화대로7가길 12,다세대주택,254000000,100.0,61
법인사업자,2022-11-17,기간만료미반환,부산광역시 수영구 광남로94번길 8,다세대주택,230000000,100.0,62
개인사업자,2023-05-11,기간만료미반환,경상북도 영천시 유봉1길 7,기타(오피스텔),345000000,100.0,25
개인사업자,2023-09-16,기간만료미반환,경기도 오산시 절골길 23,기타(오피스텔),259000000,100.0,62
개인사업자,2024-03-29,기간만료미반환,,기타(오피스텔),215000000,100.0,62
개인사업자,2023-12-11,기간만료미반환,부산광역시 부산진구 엄광로238번길 24,기타(오피스텔),352000000,100.0,-3
개인사업자,2023-06-14,기간만료미반환,전라남도 신안군 한산길 81,다세대주택,399000000,100.0,-21
개인사업자,2024-02-14,기간만료미반환,서울특별시 성북구 성북로10길 7,기타(오피스텔),325000000,100.0,92
개인사업자,2023-09-07,기간만료미반환,,기타(오피스텔),313000000,100.0,28
개인사업자,2024-07-14,기간만료미반환,전라남도 목포시 노송길11번길 4,다세대주택,400000000,100.0,-11
개인사업자,2023-04-13,기간만료미반환,경기도 화성시 장지안길 0,다세대주택,216000000,100.0,-18
개인사업자,2023-02-19,기간만료미반환,경기도 오산시 지곶43번길 13,다세대주택,254000000,100.0,54
개인사업자,2023-06-15,기간만료미반환,광주광역시 동구 밤실로42번길 3,다세대주택,215000000,100.0,62
개인사업자,2023-02-23,기간만료미반환,부산광역시 수영구 황령산로7번길 4,다세대주택,230000000,100.0,62
개인사업자,2024-03-24,기간만료미반환,서울특별시 금천구 독산로58길 59,기타(오피스텔),342000000,100.0,62
개인사업자,2024-01-14,기간만료미반환,서울특별시 강서구 곰달래로28길 32,다세대주택,264000000,100.0,-31
개인사업자,2023-04-15,기간만료미반환,충청남도 아산시 공세길42번길 3,기타(오피스텔),280000000,100.0,62
개인사업자,2023-04-19,기간만료미반환,서울특별시 구로구 구로중앙로27나길 12,다가구주택,237000000,100.0,62
개인사업자,2022-10-05,기간만료미반환,광주광역시 북구 금남로13번길 6,다세대주택,230000000,100.0,32
개인사업자,2024-04-05,기간만료미반환,경기도 화성시 고향의봄길381번길 0,다세대주택,320000000,100.0,63
개인사업자,2022-12-10,기간만료미반환,서울특별시 마포구 월드컵로42길 2,다세대주택,307000000,100.0,63
개인사업자,2024-06-01,기간만료미반환,인천광역시 서구 검단로768번길 22,기타(오피스텔),265000000,100.0,62
개인사업자,2023-04-17,기간만료미반환,경기도 하남시 하남대로934번길 55,기타(오피스텔),268000000,100.0,62
개인사업자,2024-03-14,기간만료미반환,인천광역시 계양구 아나지로187번길 12,다세대주택,221000000,100.0,62
개인사업자,2024-04-13,기간만료미반환,서울특별시 강서구 곰달래로36길 12,다세대주택,279000000,100.0,17
개인사업자,2023-10-21,기간만료미반환,서울특별시 관악구 관천로20길 17,기타(오피스텔),260000000,100.0,60
개인사업자,2024-09-07,기간만료미반환,충청북도 충주시 샘골길 59,다세대주택,257250000,100.0,62
개인사업자,2023-11-25,기간만료미반환,서울특별시 양천구 목동중앙본로18길 69,다세대주택,309000000,100.0,-10
개인사업자,2023-11-25,기간만료미반환,경기도 수원시 권선구 정조로588번길 0,기타(오피스텔),337000000,100.0,41
개인사업자,2024-02-18,기간만료미반환,서울특별시 영등포구 도림로61나길 11,다세대주택,185000000,100.0,20
개인사업자,2023-07-13,기간만료미반환,서울특별시 구로구 고척로33나길 16,기타(오피스텔),302000000,100.0,-4
개인사업자,2024-05-26,기간만료미반환,전라남도 무안군 서호로 50,기타(오피스텔),258000000,100.0,62
개인사업자,2024-02-14,기간만료미반환,서울특별시 금천구 벚꽃로56길 64,기타(오피스텔),245000000,100.0,62
개인사업자,2023-06-14,기간만료미반환,서울특별시 영등포구 영등포로47길 17,기타(오피스텔),170000000,100.0,64
개인사업자,2023-10-28,기간만료미반환,경기도 수원시 팔달구 권광로187번길 0,기타(오피스텔),285000000,100.0,60
개인사업자,2024-10-07,기간만료미반환,경상북도 구미시 예강3길 20,기타(오피스텔),310000000,100.0,25
개인사업자,2023-01-05,기간만료미반환,서울특별시 강서구 양천로73길 15,기타(오피스텔),318000000,100.0,7
개인사업자,2023-07-31,기간만료미반환,대구광역시 달성군 가창동로 5,다세대주택,234000000,100.0,60
개인사업자,2024-03-14,기간만료미반환,서울특별시 강서구 까치산로2길 8,기타(오피스텔),340000000,100.0,62
개인사업자,2023-03-26,기간만료미반환,경기도 구리시 인창2로71번길 7,기타(오피스텔),245000000,100.0,13
개인사업자,2024-02-03,기간만료미반환,서울특별시 관악구 낙성대역14가길 12,기타(오피스텔),239000000,100.0,-11
개인사업자,2024-02-17,기간만료미반환,광주광역시 광산구 송정로29번길 53,다세대주택,270000000,100.0,46
개인사업자,2023-07-12,기간만료미반환,부산광역시 부산진구 연지로43번길 25,다세대주택,263000000,100.0,63
개인사업자,2023-04-30,기간만료미반환,인천광역시 부평구 산청로77번길 22,다세대주택,274000000,100.0,45
개인사업자,2023-11-12,기간만료미반환,서울특별시 강서구 곰달래로53나길 22,다세대주택,460000000,100.0,62
개인사업자,2024-09-16,기간만료미반환,,기타(오피스텔),364000000,100.0,14
개인사업자,2024-05-15,기간만료미반환,충청남도 예산군 산성금오실길 25,기타(오피스텔),355000000,100.0,-39
개인사업자,2023-05-06,기간만료미반환,서울특별시 강서구 양천로73길 80,기타(오피스텔),148000000,100.0,61
개인사업자,2023-05-18,기간만료미반환,충청북도 충주시 하검단2길 20,다세대주택,284000000,100.0,49
개인사업자,2024-06-28,기간만료미반환,전라남도 광양시 수죽4길 8,기타(오피스텔),305000000,100.0,61
개인사업자,2023-02-09,기간만료미반환,서울특별시 은평구 서오릉로6길 5,다세대주택,297000000,100.0,61
개인사업자,2024-05-15,기간만료미반환,서울특별시 성북구 서경로21길 19,다세대주택,334000000,100.0,60
개인사업자,2024-03-20,기간만료미반환,서울특별시 강서구 양천로73가길 61,기타(오피스텔),285000000,100.0,-39
개인사업자,2023-01-09,기간만료미반환,,다세대주택,359000000,100.0,-36
개인사업자,2023-02-09,기간만료미반환,광주광역시 북구 저불로91번길 6,다세대주택,259000000,100.0,61
개인사업자,2023-12-21,기간만료미반환,서울특별시 금천구 벚꽃로46다길 4,기타(오피스텔),277000000,100.0,60
개인사업자,2023-05-30,기간만료미반환,서울특별시 강서구 초원로12길 42,다세대주택,275000000,100.0,61
개인사업자,2023-01-04,기간만료미반환,부산광역시 해운대구 좌동순환로299번길 22,기타(오피스텔),219000000,100.0,-12
개인사업자,2023-08-26,기간만료미반환,경기도 수원시 팔달구 팔달로42번길 0,기타(오피스텔),246000000,100.0,-2
개인사업자,2023-04-01,기간만료미반환,충청남도 태안군 남면로 91,기타(오피스텔),265000000,100.0,7
개인사업자,2023-10-15,기간만료미반환,전라남도 순천시 중앙로 145,다세대주택,259000000,100.0,5
개인사업자,2024-02-25,기간만료미반환,부산광역시 서구 천해로 21,기타(오피스텔),320000000,100.0,288
개인사업자,2023-03-20,기간만료미반환,서울특별시 금천구 독산로67길 27,다세대주택,311000000,100.0,62
개인사업자,2022-12-04,기간만료미반환,서울특별시 금천구 독산로78다길 47,기타(오피스텔),357000000,100.0,63
개인사업자,2023-05-27,기간만료미반환,서울특별시 양천구 목동중앙본로30길 35,다세대주택,237000000,100.0,62
개인사업자,2024-05-21,기간만료미반환,경기도 오산시 은여울로67번길 18,다세대주택,205000000,100.0,-51
개인사업자,2023-08-04,기간만료미반환,부산광역시 남구 용호로123번가길 21,다세대주택,340000000,100.0,7
개인사업자,2024-03-20,기간만료미반환,광주광역시 북구 반룡로28번길 16,기타(오피스텔),248850000,100.0,63
개인사업자,2024-03-14,기간만료미반환,광주광역시 북구 호동로34번길 5,기타(오피스텔),337000000,100.0,62
개인사업자,2024-04-11,기간만료미반환,대구광역시 달성군 과학마을로4길 56,다세대주택,272000000,100.0,20
개인사업자,2023-08-09,기간만료미반환,경상북도 안동시 상지길 8,다세대주택,284000000,100.0,62
개인사업자,2023-03-30,기간만료미반환,경상북도 영천시 야사2길 14,다세대주택,345000000,100.0,53
개인사업자,2024-08-30,기간만료미반환,서울특별시 영등포구 디지털로43길 3,다세대주택,275000000,100.0,60
개인사업자,2023-12-02,기간만료미반환,광주광역시 북구 효산로12번길 3,기타(오피스텔),344000000,100.0,62
개인사업자,2023-03-03,기간만료미반환,부산광역시 수영구 연수로302번길 12,다세대주택,339000000,100.0,61
개인사업자,2023-10-24,기간만료미반환,서울특별시 영등포구 당산로41길 22,다세대주택,260000000,100.0,62
