상품명,경/공매신청일자,신청청구금액,채권구분,발생일자,발생금액,발생금액대비 총회수금액(%),신청일자대비 배당 소요일
전세보증금반환보증,2024-02-02,209000000,소송대지급금,2024-01-03,3357860,100.0,380
전세보증금반환보증,2024-11-15,343639349,소송대지급금,2025-04-29,2418500,100.0,460
전세보증금반환보증,2025-01-21,245000000,소송대지급금,2024-07-02,556500,100.0,414
전세보증금반환보증,2025-01-22,162000000,소송대지급금,2025-01-08,2571500,69.48,263
전세보증금반환보증,2024-06-17,229000000,소송대지급금,2024-12-31,566400,100.0,478
전세보증금반환보증,2024-06-01,110000000,소송대지급금,2024-07-26,3220410,63.75,451
전세보증금반환보증,2024-09-13,83826448,소송대지급금,2024-07-15,266760,100.0,469
전세보증금반환보증,2024-11-27,178000000,소송대지급금,2025-04-23,110000,97.29,415
전세보증금반환보증,2024-09-10,121000000,소송대지급금,2025-05-12,2466175,100.0,600
전세보증금반환보증,2024-05-16,339000000,소송대지급금,2025-01-20,2566500,100.0,495
개인임대사업자임대보증금보증,2024-03-12,320000000,소송대지급금,2023-08-01,3039200,100.0,255
전세보증금반환보증,2024-11-18,175000000,소송대지급금,2025-04-21,556000,100.0,418
전세보증금반환보증,2024-05-30,159000000,소송대지급금,2024-03-05,1269900,77.29,448
전세보증금반환보증,2024-03-18,195000000,소송대지급금,2024-07-31,2017128,100.0,507
전세보증금반환보증,2024-11-28,262000000,소송대지급금,2024-06-25,42000,100.0,337
전세보증금반환보증,2024-06-18,290000000,소송대지급금,2024-04-24,258300,100.0,401
전세보증금반환보증,2024-07-16,180000000,소송대지급금,2024-11-12,550000,100.0,620
전세보증금반환보증,2025-12-03,240000000,소송대지급금,2026-05-26,2276720,100.0,353
전세보증금반환보증,2024-11-28,267000000,소송대지급금,2024-12-31,2211500,100.0,530
전세보증금반환보증,2024-12-17,132353262,소송대지급금,2024-11-26,550000,100.0,392
전세보증금반환보증,2025-08-05,180000000,소송대지급금,2026-04-10,2768500,68.48,343
전세보증금반환보증,2023-10-31,256810601,소송대지급금,2024-07-18,551000,100.0,505
개인임대사업자임대보증금보증,2024-06-05,182000000,소송대지급금,2024-05-30,3118070,100.0,441
전세보증금반환보증,2025-01-02,330000000,소송대지급금,2025-09-04,551000,100.0,488
전세보증금반환보증,2025-08-18,275000000,소송대지급금,2025-10-01,551500,100.0,452
개인임대사업자임대보증금보증,2024-09-04,155000000,소송대지급금,2024-11-29,2010610,100.0,469
개인임대사업자임대보증금보증,2024-11-25,310000000,소송대지급금,2024-07-03,2929240,100.0,477
전세보증금반환보증,2024-08-20,113000000,소송대지급금,2024-06-25,843800,100.0,602
개인임대사업자임대보증금보증,2024-03-20,215000000,소송대지급금,2023-11-09,3651200,100.0,595
전세보증금반환보증,2024-05-23,160000000,소송대지급금,2024-08-23,2841990,100.0,415
개인임대사업자임대보증금보증,2024-10-30,230000000,소송대지급금,2024-12-24,1000,93.75,712
전세보증금반환보증,2024-11-20,172000000,소송대지급금,2024-10-18,2367700,100.0,427
전세보증금반환보증,2024-04-11,66000000,소송대지급금,2024-05-09,551000,100.0,378
전세보증금반환보증,2023-08-22,248000000,소송대지급금,2024-05-07,3309300,91.02,623
전세보증금반환보증,2024-04-12,246000000,소송대지급금,2023-12-15,551000,100.0,440
전세보증금반환보증,2024-12-12,189000000,소송대지급금,2025-01-08,2850820,100.0,332
전세보증금반환보증,2024-12-03,122164471,소송대지급금,2025-09-25,231300,100.0,490
전세보증금반환보증,2024-04-11,174937798,소송대지급금,2024-06-14,550000,100.0,318
전세보증금반환보증,2023-12-14,105000000,소송대지급금,2023-08-07,2923160,100.0,453
전세보증금반환보증,2023-11-28,175000000,소송대지급금,2024-10-28,3178530,100.0,636
개인임대사업자임대보증금보증,2024-07-10,268310628,소송대지급금,2024-11-28,4451770,100.0,371
전세보증금반환보증,2024-05-24,144000000,소송대지급금,2025-03-04,551000,100.0,518
전세보증금반환보증,2024-09-25,125000000,소송대지급금,2024-12-19,2280500,100.0,455
전세보증금반환보증,2024-07-09,234000000,소송대지급금,2024-07-31,1382400,100.0,634
전세보증금반환보증,2024-05-07,245000000,소송대지급금,2024-04-23,2558880,100.0,366
전세보증금반환보증,2023-11-23,127000000,소송대지급금,2023-11-02,3279120,100.0,501
개인임대사업자임대보증금보증,2024-08-19,220000000,소송대지급금,2024-11-25,3614500,100.0,380
전세보증금반환보증,2024-07-09,262314736,소송대지급금,2023-12-14,478550,100.0,358
전세보증금반환보증,2025-01-18,376076547,소송대지급금,2025-05-13,3153100,100.0,462
전세보증금반환보증,2025-02-18,180000000,소송대지급금,2025-04-24,2288200,88.01,381
전세보증금반환보증,2024-09-03,198985272,소송대지급금,2024-06-20,2916500,89.33,326
개인임대사업자임대보증금보증,2024-01-31,332000000,소송대지급금,2024-06-24,2214209,100.0,584
전세보증금반환보증,2023-01-26,309000000,소송대지급금,2023-05-25,2844540,100.0,450
전세보증금반환보증,2024-04-05,175000000,소송대지급금,2024-11-22,844590,100.0,603
전세보증금반환보증,2024-03-14,318055318,소송대지급금,2024-05-14,3229240,100.0,435
전세보증금반환보증,2024-09-04,112000000,소송대지급금,2024-09-06,550000,100.0,312
전세보증금반환보증,2024-06-14,327452396,소송대지급금,2024-05-16,5329170,100.0,356
전세보증금반환보증,2024-04-16,160000000,소송대지급금,2024-03-05,550000,100.0,634
전세보증금반환보증,2024-12-23,180000000,소송대지급금,2025-07-18,2906810,93.97,323
전세보증금반환보증,2024-06-14,202445450,소송대지급금,2024-06-25,1213700,100.0,496
전세보증금반환보증,2024-11-21,315755025,소송대지급금,2024-07-03,3343960,100.0,405
전세보증금반환보증,2025-06-12,349000000,소송대지급금,2026-02-03,550000,100.0,443
전세보증금반환보증,2024-07-04,576127354,소송대지급금,2024-02-22,120000000,100.0,309
전세보증금반환보증,2024-06-14,200000000,소송대지급금,2024-06-17,551500,100.0,217
전세보증금반환보증,2024-08-23,80758135,소송대지급금,2024-09-02,2739500,100.0,413
전세보증금반환보증,2024-06-12,165000000,소송대지급금,2024-09-24,550000,100.0,561
전세보증금반환보증,2025-02-05,271032464,소송대지급금,2025-07-18,556000,100.0,476
전세보증금반환보증,2024-11-25,360000000,소송대지급금,2025-05-20,550000,100.0,288
전세보증금반환보증,2025-01-15,373031797,소송대지급금,2025-01-10,681200,100.0,423
전세보증금반환보증,2024-06-27,262787847,소송대지급금,2025-05-16,5342930,100.0,492
전세보증금반환보증,2024-03-12,182047517,소송대지급금,2024-07-05,556500,100.0,385
개인임대사업자임대보증금보증,2023-11-29,238533600,소송대지급금,2023-12-15,2850500,100.0,377
전세보증금반환보증,2024-02-22,217000000,소송대지급금,2024-04-18,550000,100.0,487
전세보증금반환보증,2023-12-22,259000000,소송대지급금,2025-02-14,550000,89.82,525
전세보증금반환보증,2023-06-26,70000000,소송대지급금,2023-11-20,556000,100.0,423
개인임대사업자임대보증금보증,2024-11-19,250000000,소송대지급금,2024-12-31,551000,100.0,432
전세보증금반환보증,2024-07-16,279000000,소송대지급금,2024-07-23,3308350,97.31,425
전세보증금반환보증,2023-09-04,275000000,소송대지급금,2023-06-07,550000,100.0,465
전세보증금반환보증,2024-06-17,85000000,소송대지급금,2024-07-02,3398300,100.0,339
전세보증금반환보증,2023-12-27,140000000,소송대지급금,2023-11-10,2727500,100.0,355
전세보증금반환보증,2024-04-19,155437723,소송대지급금,2024-07-23,550000,100.0,526
개인임대사업자임대보증금보증,2025-01-08,263093756,소송대지급금,2025-05-09,551000,100.0,649
전세보증금반환보증,2024-09-11,105000000,소송대지급금,2025-09-04,550000,100.0,560
전세보증금반환보증,2023-10-31,235000000,소송대지급금,2024-10-24,550000,100.0,486
개인임대사업자임대보증금보증,2025-02-07,229000000,소송대지급금,2024-12-31,2186990,100.0,322
전세보증금반환보증,2024-11-15,85000000,소송대지급금,2025-05-13,926200,100.0,454
전세보증금반환보증,2024-08-20,187000000,소송대지급금,2024-10-07,551000,100.0,475
전세보증금반환보증,2024-03-05,234000000,소송대지급금,2024-02-22,3022700,100.0,453
전세보증금반환보증,2024-10-21,245000000,소송대지급금,2024-12-13,817700,69.92,620
전세보증금반환보증,2024-05-23,248800000,소송대지급금,2024-03-27,262500,100.0,595
개인임대사업자임대보증금보증,2023-07-27,180000000,소송대지급금,2023-09-13,1154200,100.0,274
전세보증금반환보증,2025-05-02,240000000,소송대지급금,2025-12-18,3267500,100.0,391
전세보증금반환보증,2024-08-05,0,소송대지급금,2025-05-13,500,100.0,408
전세보증금반환보증,2024-11-13,185000000,소송대지급금,2024-08-05,2499500,100.0,447
전세보증금반환보증,2024-12-12,175000000,소송대지급금,2025-01-08,2566700,100.0,295
전세보증금반환보증,2023-07-26,250000000,소송대지급금,2024-03-22,110000,100.0,658
전세보증금반환보증,2024-07-02,230168385,소송대지급금,2023-12-22,237800,100.0,416
개인임대사업자임대보증금보증,2024-11-21,280000000,소송대지급금,2025-06-17,3024050,100.0,449
개인임대사업자임대보증금보증,2024-04-04,175749470,소송대지급금,2024-08-23,3272500,93.83,299
개인임대사업자임대보증금보증,2023-12-27,180000000,소송대지급금,2024-06-24,887800,100.0,463
전세보증금반환보증,2024-04-04,250278136,소송대지급금,2024-01-09,2857590,100.0,337
전세보증금반환보증,2024-03-21,290078082,소송대지급금,2024-12-12,3574440,94.97,485
전세보증금반환보증,2025-04-08,195000000,소송대지급금,2024-11-19,4569700,100.0,350
전세보증금반환보증,2024-08-13,280966509,소송대지급금,2024-09-11,556000,100.0,544
전세보증금반환보증,2024-02-22,195000000,소송대지급금,2024-04-18,1123000,100.0,646
전세보증금반환보증,2024-10-01,166000000,소송대지급금,2024-11-22,551000,100.0,429
개인임대사업자임대보증금보증,2025-04-15,268554793,소송대지급금,2026-03-11,550000,100.0,602
전세보증금반환보증,2024-03-12,287000000,소송대지급금,2024-07-16,1160900,100.0,399
전세보증금반환보증,2024-08-22,284004629,소송대지급금,2024-12-11,3007420,100.0,679
전세보증금반환보증,2025-03-13,147503797,소송대지급금,2025-11-04,2968430,74.73,650
전세보증금반환보증,2024-05-31,219650314,소송대지급금,2024-11-05,556000,100.0,277
전세보증금반환보증,2023-12-11,183000000,소송대지급금,2024-07-23,3129440,97.21,518
전세보증금반환보증,2024-11-13,190000000,소송대지급금,2024-10-02,660000,100.0,421
개인임대사업자임대보증금보증,2024-03-26,296124794,소송대지급금,2023-10-26,2657890,100.0,558
전세보증금반환보증,2025-01-02,142670987,소송대지급금,2024-12-18,553000,100.0,407
전세보증금반환보증,2024-07-24,65000000,소송대지급금,2024-11-06,142900,97.69,498
개인임대사업자임대보증금보증,2024-09-24,164935941,소송대지급금,2024-10-28,991000,100.0,540
전세보증금반환보증,2024-08-14,196000000,소송대지급금,2024-08-19,3475500,98.7,385
전세보증금반환보증,2024-01-09,400000000,소송대지급금,2023-07-27,2779950,88.39,390
전세보증금반환보증,2025-01-24,186950000,소송대지급금,2025-08-01,550000,100.0,392
전세보증금반환보증,2023-08-18,225959024,소송대지급금,2023-10-06,1189700,100.0,386
전세보증금반환보증,2023-08-10,250000000,소송대지급금,2023-04-11,3574170,100.0,426
전세보증금반환보증,2024-04-12,100000000,소송대지급금,2024-08-02,2175950,100.0,484
전세보증금반환보증,2024-12-12,230000000,소송대지급금,2025-01-15,3400300,100.0,301
개인임대사업자임대보증금보증,2024-07-16,240000000,소송대지급금,2025-06-05,551000,100.0,532
전세보증금반환보증,2024-07-31,156000000,소송대지급금,2024-08-27,550000,99.31,316
전세보증금반환보증,2024-09-11,119594222,소송대지급금,2025-08-12,551000,100.0,602
전세보증금반환보증,2024-05-01,180000000,소송대지급금,2024-04-26,3951100,100.0,415
전세보증금반환보증,2024-04-24,290000000,소송대지급금,2024-07-17,3223500,100.0,410
전세보증금반환보증,2024-06-27,97550629,소송대지급금,2024-07-22,551000,100.0,504
전세보증금반환보증,2023-12-04,180000000,소송대지급금,2024-03-19,3173900,100.0,492
전세보증금반환보증,2024-08-29,281750141,소송대지급금,2024-04-16,3063000,100.0,494
전세보증금반환보증,2024-07-17,350000000,소송대지급금,2025-02-13,556000,100.0,497
전세보증금반환보증,2023-12-06,110033464,소송대지급금,2024-06-21,3005500,100.0,464
전세보증금반환보증,2024-11-15,265000000,소송대지급금,2025-04-28,1154700,100.0,665
전세보증금반환보증,2024-09-11,321962191,소송대지급금,2024-12-17,2093670,100.0,372
전세보증금반환보증,2025-03-20,0,소송대지급금,2025-03-27,2611486,63.96,486
전세보증금반환보증,2024-08-20,67397527,소송대지급금,2024-07-03,3120900,100.0,407
전세보증금반환보증,2025-04-28,137000000,소송대지급금,2025-12-29,3073500,100.0,412
전세보증금반환보증,2025-02-07,49274435,소송대지급금,2025-06-25,500,100.0,533
전세보증금반환보증,2024-08-16,227000000,소송대지급금,2024-07-31,2312780,94.96,445
전세보증금반환보증,2023-12-08,225000000,소송대지급금,2024-03-13,551000,100.0,740
개인임대사업자임대보증금보증,2024-02-01,200000000,소송대지급금,2024-04-18,110000,100.0,327
전세보증금반환보증,2025-04-10,251180560,소송대지급금,2025-10-21,551500,100.0,388
전세보증금반환보증,2025-01-16,142670987,소송대지급금,2025-10-16,551000,100.0,632
전세보증금반환보증,2024-06-11,270000000,소송대지급금,2025-03-27,967700,100.0,589
전세보증금반환보증,2024-04-12,233000000,소송대지급금,2024-11-13,1273700,100.0,391
전세보증금반환보증,2024-09-05,145000000,소송대지급금,2024-01-08,3026700,100.0,373
전세보증금반환보증,2024-11-22,103592614,소송대지급금,2024-07-15,1321700,75.13,345
전세보증금반환보증,2024-03-13,135000000,소송대지급금,2023-05-03,4124230,100.0,217
전세보증금반환보증,2024-10-15,245000000,소송대지급금,2024-10-15,568080,100.0,442
전세보증금반환보증,2024-08-27,325168899,소송대지급금,2025-01-20,552000,100.0,336
전세보증금반환보증,2024-06-13,145000000,소송대지급금,2024-11-12,387200,94.74,483
전세보증금반환보증,2024-12-11,239000000,소송대지급금,2025-05-12,3115770,100.0,413
전세보증금반환보증,2025-02-21,155325721,소송대지급금,2024-12-31,3148520,100.0,416
전세보증금반환보증,2024-09-05,275000000,소송대지급금,2024-09-24,1201700,100.0,476
개인임대사업자임대보증금보증,2024-03-11,247176291,소송대지급금,2023-07-21,2936500,100.0,384
개인임대사업자임대보증금보증,2024-10-04,150000000,소송대지급금,2024-12-04,551500,100.0,421
개인임대사업자임대보증금보증,2024-11-28,190000000,소송대지급금,2024-12-18,4609400,100.0,384
전세보증금반환보증,2024-08-13,195000000,소송대지급금,2024-11-18,3662350,100.0,359
전세보증금반환보증,2025-02-12,228000000,소송대지급금,2025-01-15,3384890,100.0,385
개인임대사업자임대보증금보증,2024-07-31,275000000,소송대지급금,2024-11-11,2272810,100.0,433
전세보증금반환보증,2023-12-01,270000000,소송대지급금,2024-07-23,2591100,100.0,469
전세보증금반환보증,2024-05-23,320000000,소송대지급금,2024-11-25,1920500,99.08,488
전세보증금반환보증,2023-04-18,190000000,소송대지급금,2023-06-29,1230500,100.0,393
개인임대사업자임대보증금보증,2025-01-23,189385718,소송대지급금,2024-10-02,550000,100.0,413
전세보증금반환보증,2024-11-26,186151749,소송대지급금,2024-10-18,265400,89.26,391
개인임대사업자임대보증금보증,2023-12-18,185000000,소송대지급금,2024-09-11,3426000,100.0,581
개인임대사업자임대보증금보증,2023-12-18,249000000,소송대지급금,2024-07-03,618000,100.0,371
전세보증금반환보증,2024-12-11,280000000,소송대지급금,2024-09-06,669100,100.0,419
전세보증금반환보증,2024-05-02,150000000,소송대지급금,2024-11-19,2916560,100.0,510
전세보증금반환보증,2024-11-26,225000000,소송대지급금,2024-10-31,550000,100.0,337
전세보증금반환보증,2024-05-08,185000000,소송대지급금,2024-10-02,260700,100.0,264
전세보증금반환보증,2024-09-03,148000000,소송대지급금,2024-11-26,272600,97.82,392
전세보증금반환보증,2024-02-23,171462900,소송대지급금,2024-06-18,4185500,100.0,417
전세보증금반환보증,2024-04-24,340000000,소송대지급금,2024-03-11,2885864,100.0,331
개인임대사업자임대보증금보증,2024-12-12,250000000,소송대지급금,2024-05-30,551500,100.0,296
전세보증금반환보증,2024-05-14,98000000,소송대지급금,2024-12-09,1058200,100.0,509
전세보증금반환보증,2024-06-20,186000000,소송대지급금,2024-11-19,148800,100.0,627
전세보증금반환보증,2024-06-21,144670684,소송대지급금,2024-04-19,550000,100.0,706
전세보증금반환보증,2024-11-21,52000000,소송대지급금,2024-12-31,110000,100.0,458
전세보증금반환보증,2024-07-02,103000000,소송대지급금,2025-02-26,110000,94.07,452
전세보증금반환보증,2024-03-21,400000000,소송대지급금,2023-12-13,2797360,100.0,285
전세보증금반환보증,2024-04-01,245000000,소송대지급금,2025-03-21,551000,100.0,426
전세보증금반환보증,2024-03-12,195000000,소송대지급금,2024-05-08,2272680,76.03,479
전세보증금반환보증,2025-02-25,144346439,소송대지급금,2025-01-08,551200,100.0,224
전세보증금반환보증,2025-08-27,225000000,소송대지급금,2025-12-05,550000,100.0,407
전세보증금반환보증,2023-06-14,244539570,소송대지급금,2023-10-13,256500,100.0,416
전세보증금반환보증,2023-08-09,144346439,소송대지급금,2023-09-27,551000,93.57,490
전세보증금반환보증,2025-01-03,363862204,소송대지급금,2025-07-29,2066500,75.31,455
전세보증금반환보증,2025-08-27,234000000,소송대지급금,2026-02-20,110000,100.0,366
개인임대사업자임대보증금보증,2024-01-09,280190108,소송대지급금,2024-07-12,2947500,100.0,538
전세보증금반환보증,2024-01-24,175000000,소송대지급금,2024-01-08,551000,89.13,339
전세보증금반환보증,2025-07-14,0,소송대지급금,2025-12-05,550000,100.0,435
전세보증금반환보증,2024-10-15,193000000,소송대지급금,2025-04-09,755200,100.0,529
전세보증금반환보증,2024-02-07,279990245,소송대지급금,2024-04-18,3244500,100.0,285
전세보증금반환보증,2024-01-24,275000000,소송대지급금,2023-06-21,2266500,100.0,441
전세보증금반환보증,2024-11-18,235597654,소송대지급금,2024-12-31,551000,100.0,411
개인임대사업자임대보증금보증,2024-07-02,201030081,소송대지급금,2024-05-30,3391010,100.0,532
전세보증금반환보증,2024-04-25,200000000,소송대지급금,2024-09-06,551000,100.0,550
개인임대사업자임대보증금보증,2024-06-26,278220231,소송대지급금,2025-04-17,428700,100.0,425
개인임대사업자임대보증금보증,2024-11-19,275000000,소송대지급금,2024-11-08,2767850,100.0,424
개인임대사업자임대보증금보증,2024-05-17,294000000,소송대지급금,2023-12-29,3703760,100.0,426
전세보증금반환보증,2024-11-27,185000000,소송대지급금,2024-04-08,551000,100.0,424
개인임대사업자임대보증금보증,2024-11-19,142670987,소송대지급금,2024-07-23,2810710,100.0,463
개인임대사업자임대보증금보증,2024-07-24,295000000,소송대지급금,2024-11-21,3331000,94.31,564
개인임대사업자임대보증금보증,2024-01-16,227000000,소송대지급금,2023-08-24,551000,100.0,455
전세보증금반환보증,2024-05-16,135000000,소송대지급금,2024-05-07,2264500,100.0,488
전세보증금반환보증,2024-04-02,230000000,소송대지급금,2024-05-17,2982110,100.0,554
