case_id,source_group,region_sido,region_sigungu,deposit_range,contract_status,housing_type,senior_rights,guarantee_raw,dispute_type,progress_stage,situation_summary_safe,special_notes_safe,guarantee_product_type,search_text,source_type
CASE-0147,G02,미상,미상,1억~2억,계약중(종료예정),미상,미상,가입,보증금미반환,상담·검토,"계약서 기준 22년 12/7에 입주, 24년 12/6에 퇴실이 기재되어 있습니다. 하지만 임대인이 세입자가 들어오지 않았기에 보증금을 돌려줄 수 없다고 말씀하시다 자기가 대출을 받아서 줘야하니까 기다리라고 합니다. 여기까지 이해할 수 있으나, 자신은 돈을 12/7에 받았기 때문에 하루 지난 12/7에 줘야한다고 합니다. 저는 현 대출을 상환한 후에 hug 청년 버팀목으로 갈아타려고 하고 있고, 이미 가계약 및 대출 가능 은행도 찾아둔 상태입니다. 하루 연체로 신용 등급에 영향이 가진 않는다고는 하나, 은행에는 기록이 남고, 이로 인해 진행하기로 했던 hug 대출에 영향이 가면 어쩌나 노심초사 하고 있는 상황입니다. 임대인은 너무나도 뻔뻔하게 자신이 대출이 나오지 않으면 어떡하려고 하냐며 반 협박 멘트를 던지고, 어려서 아무것도 모른다는 둥, 자기는 돈을 구하고 있는 사람인데 왜 못된 사람 만드냐는 둥 오히려 저에게 역정을 내고 있는 상황입니다. 만일 일이 그르칠 경우 법적으로 해결하겠다고 했지만, 그렇게 하라며 당당한 태도로 잏일관하고 있습니다. 혹시 계약서를 위반하여 전세금을 하루 연체하여 줄 경우, 그리고 이로 인해 앞으로 받게될 저의 피해 금액을 법적으로 대응할 수 있는 방법이 있는 걸까요?",1. 통상의 손해 + 특별손해 설명완료,unknown,"보증상품 보증상품 미확인 | 주택유형 미상 | 보증금구간 1억~2억 | 계약상태 계약중(종료예정) | 선순위권리 미상 | 반환보증 가입 | 분쟁유형 보증금미반환 | 진행단계 상담·검토 | 상황 계약서 기준 22년 12/7에 입주, 24년 12/6에 퇴실이 기재되어 있습니다. 하지만 임대인이 세입자가 들어오지 않았기에 보증금을 돌려줄 수 없다고 말씀하시다 자기가 대출을 받아서 줘야하니까 기다리라고 합니다. 여기까지 이해할 수 있으나, 자신은 돈을 12/7에 받았기 때문에 하루 지난 12/7에 줘야한다고 합니다. 저는 현 대출을 상환한 후에 hug 청년 버팀목으로 갈아타려고 하고 있고, 이미 가계약 및 대출 가능 은행도 찾아둔 상태입니다. 하루 연체로 신용 등급에 영향이 가진 않는다고는 하나, 은행에는 기록이 남고, 이로 인해 진행하기로 했던 hug 대출에 영향이 가면 어쩌나 노심초사 하고 있는 상황입니다. 임대인은 너무나도 뻔뻔하게 자신이 대출이 나오지 않으면 어떡하려고 하냐며 반 협박 멘트를 던지고, 어려서 아무것도 모른다는 둥, 자기는 돈을 구하고 있는 사람인데 왜 못된 사람 만드냐는 둥 오히려 저에게 역정을 내고 있는 상황입니다. 만일 일이 그르칠 경우 법적으로 해결하겠다고 했지만, 그렇게 하라며 당당한 태도로 잏일관하고 있습니다. 혹시 계약서를 위반하여 전세금을 하루 연체하여 줄 경우, 그리고 이로 인해 앞으로 받게될 저의 피해 금액을 법적으로 대응할 수 있는 방법이 있는 걸까요? | 특이사항 1. 통상의 손해 + 특별손해 설명완료",provided_synthetic_consultations
CASE-0148,G02,미상,미상,1억~2억,계약중(종료예정),미상,미상,가입,기타·일반문의,판결·집행,보증보험 안들어있고 집주인이 파산신청을 한 상태입니다. 전세금반환소송을 해도 승소해서 돈을 받을 수 있을까요 ? 소액임차인으로 최우선변제금을 받을 수 있는지 지금 상황에서 어떻게 해야 좋은 방법이 있을지 도와주시면 감사하겠습니다.,1. 23.01.08 임대차계약,unknown,보증상품 보증상품 미확인 | 주택유형 미상 | 보증금구간 1억~2억 | 계약상태 계약중(종료예정) | 선순위권리 미상 | 반환보증 가입 | 분쟁유형 기타·일반문의 | 진행단계 판결·집행 | 상황 보증보험 안들어있고 집주인이 파산신청을 한 상태입니다. 전세금반환소송을 해도 승소해서 돈을 받을 수 있을까요 ? 소액임차인으로 최우선변제금을 받을 수 있는지 지금 상황에서 어떻게 해야 좋은 방법이 있을지 도와주시면 감사하겠습니다. | 특이사항 1. 23.01.08 임대차계약,provided_synthetic_consultations
CASE-0149,G02,미상,강서구,2억~3억,계약종료,미상,미상,미상,기타·일반문의,상담·검토,이행이자 청구 관련 문의,1. 주택을 임대인에게 인도하지 않고 계속거주하고 있었음,unknown,보증상품 보증상품 미확인 | 주택유형 미상 | 보증금구간 2억~3억 | 계약상태 계약종료 | 선순위권리 미상 | 반환보증 미상 | 분쟁유형 기타·일반문의 | 진행단계 상담·검토 | 상황 이행이자 청구 관련 문의 | 특이사항 1. 주택을 임대인에게 인도하지 않고 계속거주하고 있었음,provided_synthetic_consultations
CASE-0150,G02,대구,대구,2억~3억,계약중(종료예정),미상,미상,미상,기타·일반문의,소송제기,"계약종료일 2025.2.15 (계약기간 2+2) 집주인과 2024년9월 중순 전화로 계약완료의사 밝힘(임차인배우자통화) 2024.11월 문자로 계약종료 및 전세금반환요구(임차인본인) 2024.11월25 계약종료 및 전세금 반환요청 내용증명 발송 현재 상태 : 시세 전세 150,000,000원 (70,000,000원 칠천만원 마이너스) 현재 집주인은 2억5천에 매수 직후 전세 2024년 10/30 동일 면적 같은전세금액의 물건도 남아있는상태. 집보러오는사람도 없음. 통화상으로는 연말 대출이 어렵다 핑계를 대면서 종료일에 딱맞춰 돈을 최대한 맞춰보겠다 노력하고 있다라는 상황뿐 확신이 없음. 문제상황 : 실제 계약자 장모. 계약당시 위임장을가진 사위가 현재 모든 의사소통을 대리하고 있는 상태. 추후 임차권등기명령등 원활한 반환이 안되었을때에 소송집행시 대리인과의 문자 및 녹취 전화의 내용이 임차인에게 불리한 상황인지 알고싶습니다. 추후 임대인과의 진행방법 또한 알고싶습니다",1. 잔금때 임대인변경 / 이러한 내용을 임대차계약서에 특약으로 작성 / 근데 나타난 임대인이 75세,unknown,"보증상품 보증상품 미확인 | 주택유형 미상 | 보증금구간 2억~3억 | 계약상태 계약중(종료예정) | 선순위권리 미상 | 반환보증 미상 | 분쟁유형 기타·일반문의 | 진행단계 소송제기 | 상황 계약종료일 2025.2.15 (계약기간 2+2) 집주인과 2024년9월 중순 전화로 계약완료의사 밝힘(임차인배우자통화) 2024.11월 문자로 계약종료 및 전세금반환요구(임차인본인) 2024.11월25 계약종료 및 전세금 반환요청 내용증명 발송 현재 상태 : 시세 전세 150,000,000원 (70,000,000원 칠천만원 마이너스) 현재 집주인은 2억5천에 매수 직후 전세 2024년 10/30 동일 면적 같은전세금액의 물건도 남아있는상태. 집보러오는사람도 없음. 통화상으로는 연말 대출이 어렵다 핑계를 대면서 종료일에 딱맞춰 돈을 최대한 맞춰보겠다 노력하고 있다라는 상황뿐 확신이 없음. 문제상황 : 실제 계약자 장모. 계약당시 위임장을가진 사위가 현재 모든 의사소통을 대리하고 있는 상태. 추후 임차권등기명령등 원활한 반환이 안되었을때에 소송집행시 대리인과의 문자 및 녹취 전화의 내용이 임차인에게 불리한 상황인지 알고싶습니다. 추후 임대인과의 진행방법 또한 알고싶습니다 | 특이사항 1. 잔금때 임대인변경 / 이러한 내용을 임대차계약서에 특약으로 작성 / 근데 나타난 임대인이 75세",provided_synthetic_consultations
CASE-0151,G02,미상,강남구,2억~3억,계약중(종료예정),미상,미상,가입,묵시적갱신분쟁,상담·검토,"아래와 같이 문자로 소통하였을 경우, 갱신거절통지가 되었다고 볼수 있을까요? 11월 20일 - 임차인: 안녕하세요 OOO 세입자 OOO입니다. 집주인 OOO님 맞으시죠? 매매 또는 전세(+월세) 진행을 원하신다고 전달받았습니다. 계약종료 날짜(24.12.20)가 얼마 남지 않아 여러 부동산에 내 놓으려고 합니다. 매매 / 전세+월세 각각 정확한 금액 공유 부탁드립니다. -임대인: 안녕하세요 매매는 2억8천5백만원이고 전세+월세는 2억4천3백만원+월15만원입니다. - 임차인 : 너무 비싼듯한데요 동일평수 매매가가 억 6500 인데 협의 가능성 추가로, OOO에 대해 2023.12.21-2024.12.20 기간동안 체결한 전세계약이 갱신되지 않고 2024.12.20 부로 종료된 것에 동의하시는거 맞으시죠? 임대인 매매가는 2억8500만원에 내 놓아주시고 실거래시 약간의 네고는 가능할 것 같습니다. OOO OOO호 전세계약은 계약종료 2개월 전까지 확정되지 않아 계약갱신이 2025.12.20까지 된 상태입니다. 임차인 : 월세값 협의는 가능하실까요? 임대인 : 전세+월세 2억4천7백만원+월10만원도 가능합니다 11월 21일 - 임차인: 안녕하세요 현재 OOO 다른 시세에 비해 요청하신 매매가와 전세가가 너무 비쌉니다. 방을 빼서 나갈수가 없는 가격이에요. 매매가가 시세보다 2000만원이 비쌉니다. 원래 억 5천-> 2억 4천3백만원+월5만원 진행 부탁드립니다. 동일조건 묵시적 계약갱신으로 알고 있었습니다. 전세보증청구를 위해 필요한 갱신 거절 통지 기간(대차계약이 끝나기 2개월 전)이 지난 시점에서 일방적 부분전세로 통보를 하시면 어떻합니까 너른 이해 부탁드립니다. - 임대인: 제가 일과 중에 전화받는게 좀 어려워서요 OO부동산 OOO 대표님께 내용 전달해 놓았으니, 그 쪽으로 연락해주시면 감사하겠습니다. 11월 25일 -임차인 : OOO님, 안녕하세요 OOO OOO호의 같은 평형대의 전세 시세보다 너무 비싼거 같습니다 위에 말씀드린 가격으로 협의는 절대 불가능하신건지요. 12월에서 1월쯤 이사를 하려고 하는데 방을 빼서 나갈수가 없는 상황입니다. 너른 이해",1. 3년 전 최초계약 / 1년 전 1년단위로 갱신계약,unknown,"보증상품 보증상품 미확인 | 주택유형 미상 | 보증금구간 2억~3억 | 계약상태 계약중(종료예정) | 선순위권리 미상 | 반환보증 가입 | 분쟁유형 묵시적갱신분쟁 | 진행단계 상담·검토 | 상황 아래와 같이 문자로 소통하였을 경우, 갱신거절통지가 되었다고 볼수 있을까요? 11월 20일 - 임차인: 안녕하세요 OOO 세입자 OOO입니다. 집주인 OOO님 맞으시죠? 매매 또는 전세(+월세) 진행을 원하신다고 전달받았습니다. 계약종료 날짜(24.12.20)가 얼마 남지 않아 여러 부동산에 내 놓으려고 합니다. 매매 / 전세+월세 각각 정확한 금액 공유 부탁드립니다. -임대인: 안녕하세요 매매는 2억8천5백만원이고 전세+월세는 2억4천3백만원+월15만원입니다. - 임차인 : 너무 비싼듯한데요 동일평수 매매가가 억 6500 인데 협의 가능성 추가로, OOO에 대해 2023.12.21-2024.12.20 기간동안 체결한 전세계약이 갱신되지 않고 2024.12.20 부로 종료된 것에 동의하시는거 맞으시죠? 임대인 매매가는 2억8500만원에 내 놓아주시고 실거래시 약간의 네고는 가능할 것 같습니다. OOO OOO호 전세계약은 계약종료 2개월 전까지 확정되지 않아 계약갱신이 2025.12.20까지 된 상태입니다. 임차인 : 월세값 협의는 가능하실까요? 임대인 : 전세+월세 2억4천7백만원+월10만원도 가능합니다 11월 21일 - 임차인: 안녕하세요 현재 OOO 다른 시세에 비해 요청하신 매매가와 전세가가 너무 비쌉니다. 방을 빼서 나갈수가 없는 가격이에요. 매매가가 시세보다 2000만원이 비쌉니다. 원래 억 5천-> 2억 4천3백만원+월5만원 진행 부탁드립니다. 동일조건 묵시적 계약갱신으로 알고 있었습니다. 전세보증청구를 위해 필요한 갱신 거절 통지 기간(대차계약이 끝나기 2개월 전)이 지난 시점에서 일방적 부분전세로 통보를 하시면 어떻합니까 너른 이해 부탁드립니다. - 임대인: 제가 일과 중에 전화받는게 좀 어려워서요 OO부동산 OOO 대표님께 내용 전달해 놓았으니, 그 쪽으로 연락해주시면 감사하겠습니다. 11월 25일 -임차인 : OOO님, 안녕하세요 OOO OOO호의 같은 평형대의 전세 시세보다 너무 비싼거 같습니다 위에 말씀드린 가격으로 협의는 절대 불가능하신건지요. 12월에서 1월쯤 이사를 하려고 하는데 방을 빼서 나갈수가 없는 상황입니다. 너른 이해 | 특이사항 1. 3년 전 최초계약 / 1년 전 1년단위로 갱신계약",provided_synthetic_consultations
CASE-0152,G02,미상,중구,3억 이상,계약중(종료예정),미상,근저당설정,가입,기타·일반문의,HUG이행청구,"현재 주거중인 집 전세계약 만료가 내년 3월달 입니다. (현재 살고있는 집의 명의는 딸로 되어있고, 실질적인 주인은 대리인인 그 어머니 입니다.) 집주인은 몇개월 전 이미 매매를 내놓았고 매매가 되지 않으면 딸이 들어와서 살려고한다고 해서 저희는 새로 이사갈 집을 찾고있는 중 이었습니다. 그러던 중 어제 전화를 받았는데, 본인 상황이 많이 안좋아져서, 본인 집도 내놓았고, 저희가 살고있는 집에 근저당 2억을 설정했다는 이야기를 들었습니다. 이런 이야기를 들으니 너무 불안해져서요. 지금 집은 전세 3억 1800만원이고, 80% HUG버팀목 대출로 되어있는 상태이며, 보증보험 가입 되어있습니다. 이 상황에서 저희가 전세금을 온전히 계약 끝나는 날에 돌려받기 위해서 해야 할 것 들이 있을까요",,unknown,"보증상품 보증상품 미확인 | 주택유형 미상 | 보증금구간 3억 이상 | 계약상태 계약중(종료예정) | 선순위권리 근저당설정 | 반환보증 가입 | 분쟁유형 기타·일반문의 | 진행단계 HUG이행청구 | 상황 현재 주거중인 집 전세계약 만료가 내년 3월달 입니다. (현재 살고있는 집의 명의는 딸로 되어있고, 실질적인 주인은 대리인인 그 어머니 입니다.) 집주인은 몇개월 전 이미 매매를 내놓았고 매매가 되지 않으면 딸이 들어와서 살려고한다고 해서 저희는 새로 이사갈 집을 찾고있는 중 이었습니다. 그러던 중 어제 전화를 받았는데, 본인 상황이 많이 안좋아져서, 본인 집도 내놓았고, 저희가 살고있는 집에 근저당 2억을 설정했다는 이야기를 들었습니다. 이런 이야기를 들으니 너무 불안해져서요. 지금 집은 전세 3억 1800만원이고, 80% HUG버팀목 대출로 되어있는 상태이며, 보증보험 가입 되어있습니다. 이 상황에서 저희가 전세금을 온전히 계약 끝나는 날에 돌려받기 위해서 해야 할 것 들이 있을까요",provided_synthetic_consultations
CASE-0153,G02,대전,서구,1억 미만,계약종료,미상,근저당설정,가입,경매·공매,소송제기,임대인이 보증금 일부 반환 또는 월세 전환도 어렵다고 하셔서 어떻게 해야 할지 모르겠습니다. 21년 12월에 공동담보 근저당이 설정되어 있어 보증보험 가입도 어려워서 연장을 하기에도 쉽지 않습니다. 소송 및 경매를 진행해야 할지 아니면 최우선변제에도 해당이 안 되는데 계속 살아야 할지 구분이 안 갑니다.,1. 공동담보 29.7억 설정상태에서 임대차계약,unknown,보증상품 보증상품 미확인 | 주택유형 미상 | 보증금구간 1억 미만 | 계약상태 계약종료 | 선순위권리 근저당설정 | 반환보증 가입 | 분쟁유형 경매·공매 | 진행단계 소송제기 | 상황 임대인이 보증금 일부 반환 또는 월세 전환도 어렵다고 하셔서 어떻게 해야 할지 모르겠습니다. 21년 12월에 공동담보 근저당이 설정되어 있어 보증보험 가입도 어려워서 연장을 하기에도 쉽지 않습니다. 소송 및 경매를 진행해야 할지 아니면 최우선변제에도 해당이 안 되는데 계속 살아야 할지 구분이 안 갑니다. | 특이사항 1. 공동담보 29.7억 설정상태에서 임대차계약,provided_synthetic_consultations
CASE-0154,G02,대전,서구,1억~2억,계약종료,미상,미상,미상,경매·공매,소송제기,"1. 보증금 지급 명령 신청 후 임대인이 이의 신청 제기함. 민사소송으로 전환됐는데 준비 과정이 궁금해요 2. 경매로 배당 요구 신청서 제출. 배당 결과는 안 나온 상태고 결과가 나와야 소송을 걸 수 있다는데, 정확한 답변이",,unknown,"보증상품 보증상품 미확인 | 주택유형 미상 | 보증금구간 1억~2억 | 계약상태 계약종료 | 선순위권리 미상 | 반환보증 미상 | 분쟁유형 경매·공매 | 진행단계 소송제기 | 상황 1. 보증금 지급 명령 신청 후 임대인이 이의 신청 제기함. 민사소송으로 전환됐는데 준비 과정이 궁금해요 2. 경매로 배당 요구 신청서 제출. 배당 결과는 안 나온 상태고 결과가 나와야 소송을 걸 수 있다는데, 정확한 답변이",provided_synthetic_consultations
CASE-0155,G02,미상,미상,1억~2억,계약종료,다가구주택,압류·가압류,미가입,보증금미반환,소송제기,"1. 22년 11월 14일 다가구 전세계약 체결. (1억 2천만 / 관리비 5, 보증보험 X, 임대인: 주택개발 법인) 2. 24년 5월 22일 세금 체납으로 해당건물 압류 3. 24년 8월 14일 문자로 퇴거 통보 및 답변 받음 그리고 노력하겠다고함(압류되어있는 상태인데 새 세입자 열심히 구해보겠다고함 (문자) 4. 24년 9월 27일 압류 말소 확인 5. 24년 10월 15일 카톡으로 부동산에 부동산 매물 중개어플에 올라가는지 문의. -> 공실클럽이라는 사이트에 올린다고 함. 6. 24년 11월 2일 해당 부동산 찾아가서 공실클럽에 올라가 있는지 확인해보니, 안 올라가 있음. 그 후로 차라리 관리비 내주는 년 연장계약하는 것이 어떤지 권유함. 일단 생각해보겠다고 하고, 돌아감. (재계약시 불이익이 있을까봐 고민 -> 결국 따로 계약 안함) 7. 24년 11월 13일 전세보증금 미반환으로 일시 거주한다고 통보 후 답변 받음 8. 24년 11월 14일 전세보증금 미반환으로 전세보증반환소송 하겠다고 함. 부동산으로부터 전화로 \`며칠전에 연장한다고 하더니 왜 이렇게 일을 크게 만드냐고 함, 임차권설정되면 해당 건물 사람들한테 피해주는 행위라고함. 개월 기한 잡아서 임대인 돈줄 트이게 하라고함\` -> 일단 생각해보겠다고 함. 9. 24년 11월 15일 전세반환소송 하겠다고 임대인에게 연락, 연락 후 20분 뒤 해당 부동산의 다른 중개원한테서 집 보여주려고 하는데 집 비밀번호 알려달라고 함 10.24년 11월 18일 집 보러 갔었던 사람이 마음에 든다고 11월 21일 목요일 본 계약 후 알려주겠다고 함 11.24년 11월 25일 임대인 찾아감. 임대인 방문후 부동산 연락와서 계약서는 개인정보보호법상 보여줄 수 없고 부동산 오면 슬쩍 보여주겠다고 함. 계약자 이름은 남영빈이라고 답변받음 (녹취 O) 24년 11월 27일 임대인으로부터 계약서 밑에 작성 부분을 가린 상태로 받음. (계좌 이체 내역 (11월 21일, 신협 131*****5953, 17:27 1,100,000원 가계약금 입금 학인, 남영빈)과 보내준 계약서 내 계좌랑 다름 확인) 계약서 개인정보 가린 상태로 원본을 사진으로 요청하자, 부동산에서 연락와서 \`개인정보보호법 때문에 못 보여준다고 하는데 왜 자꾸 요청하냐. 이럴거면 그냥 소송해라. 확약서를 아직도 안 받았냐. 확약서 3개월 기한으로 \`형사상 이의제기 없음\` 특약넣으면 민형사 소송시 이의제기 못한다는 뜻이니까 특약으로 넣어라. (녹취0)\` 그리고 오늘 계약서 볼 수 있냐고 하니, 임차인 자꾸 그런 태도로 나와서 보여줄 수 없다고 함. 그리고 자기는 그럴 의무도 없다. 자기는 계속 세입자 구하고 있다고 함. 12. 24년 11월 27일 18:36분 경 부동산으로부터 전화옴. 임대인 공실 중 1건 계약되어서 25년 1월 9일 천만원 확보됐다고 함. ============================== 문의사항: 해당 내용 찾아뵙고 증거 보여드리면서 상담 받고 싶습니다. 방문 상담시 문의드리고자 하는 것은 임대인과 부동산이 지금 시간을 끄는 것 같은데 소송을 바로 진행해야하는지 궁금합니다, 또한 소송을 맡기려면 어떻게 해야하는지요.",1. 다가구 주택 / 12가구 중 첫번째 임차인(본인과 대항력 및 확정일자 동일인 1명 있음),unknown,"보증상품 보증상품 미확인 | 주택유형 다가구주택 | 보증금구간 1억~2억 | 계약상태 계약종료 | 선순위권리 압류·가압류 | 반환보증 미가입 | 분쟁유형 보증금미반환 | 진행단계 소송제기 | 상황 1. 22년 11월 14일 다가구 전세계약 체결. (1억 2천만 / 관리비 5, 보증보험 X, 임대인: 주택개발 법인) 2. 24년 5월 22일 세금 체납으로 해당건물 압류 3. 24년 8월 14일 문자로 퇴거 통보 및 답변 받음 그리고 노력하겠다고함(압류되어있는 상태인데 새 세입자 열심히 구해보겠다고함 (문자) 4. 24년 9월 27일 압류 말소 확인 5. 24년 10월 15일 카톡으로 부동산에 부동산 매물 중개어플에 올라가는지 문의. -> 공실클럽이라는 사이트에 올린다고 함. 6. 24년 11월 2일 해당 부동산 찾아가서 공실클럽에 올라가 있는지 확인해보니, 안 올라가 있음. 그 후로 차라리 관리비 내주는 년 연장계약하는 것이 어떤지 권유함. 일단 생각해보겠다고 하고, 돌아감. (재계약시 불이익이 있을까봐 고민 -> 결국 따로 계약 안함) 7. 24년 11월 13일 전세보증금 미반환으로 일시 거주한다고 통보 후 답변 받음 8. 24년 11월 14일 전세보증금 미반환으로 전세보증반환소송 하겠다고 함. 부동산으로부터 전화로 \`며칠전에 연장한다고 하더니 왜 이렇게 일을 크게 만드냐고 함, 임차권설정되면 해당 건물 사람들한테 피해주는 행위라고함. 개월 기한 잡아서 임대인 돈줄 트이게 하라고함\` -> 일단 생각해보겠다고 함. 9. 24년 11월 15일 전세반환소송 하겠다고 임대인에게 연락, 연락 후 20분 뒤 해당 부동산의 다른 중개원한테서 집 보여주려고 하는데 집 비밀번호 알려달라고 함 10.24년 11월 18일 집 보러 갔었던 사람이 마음에 든다고 11월 21일 목요일 본 계약 후 알려주겠다고 함 11.24년 11월 25일 임대인 찾아감. 임대인 방문후 부동산 연락와서 계약서는 개인정보보호법상 보여줄 수 없고 부동산 오면 슬쩍 보여주겠다고 함. 계약자 이름은 남영빈이라고 답변받음 (녹취 O) 24년 11월 27일 임대인으로부터 계약서 밑에 작성 부분을 가린 상태로 받음. (계좌 이체 내역 (11월 21일, 신협 131*****5953, 17:27 1,100,000원 가계약금 입금 학인, 남영빈)과 보내준 계약서 내 계좌랑 다름 확인) 계약서 개인정보 가린 상태로 원본을 사진으로 요청하자, 부동산에서 연락와서 \`개인정보보호법 때문에 못 보여준다고 하는데 왜 자꾸 요청하냐. 이럴거면 그냥 소송해라. 확약서를 아직도 안 받았냐. 확약서 3개월 기한으로 \`형사상 이의제기 없음\` 특약넣으면 민형사 소송시 이의제기 못한다는 뜻이니까 특약으로 넣어라. (녹취0)\` 그리고 오늘 계약서 볼 수 있냐고 하니, 임차인 자꾸 그런 태도로 나와서 보여줄 수 없다고 함. 그리고 자기는 그럴 의무도 없다. 자기는 계속 세입자 구하고 있다고 함. 12. 24년 11월 27일 18:36분 경 부동산으로부터 전화옴. 임대인 공실 중 1건 계약되어서 25년 1월 9일 천만원 확보됐다고 함. ============================== 문의사항: 해당 내용 찾아뵙고 증거 보여드리면서 상담 받고 싶습니다. 방문 상담시 문의드리고자 하는 것은 임대인과 부동산이 지금 시간을 끄는 것 같은데 소송을 바로 진행해야하는지 궁금합니다, 또한 소송을 맡기려면 어떻게 해야하는지요. | 특이사항 1. 다가구 주택 / 12가구 중 첫번째 임차인(본인과 대항력 및 확정일자 동일인 1명 있음)",provided_synthetic_consultations
CASE-0156,G02,서울,미상,1억~2억,계약종료,미상,미상,미상,기타·일반문의,상담·검토,작년 11월 계약 종료 후 이사 간다고 의사를 표함 올해 4월 계약만료 되었지만 집주인이 간곡하게 요청하여 집이 나갈때까지 조금만 더 기다려주기로 함 현재 11월까지 집 보러 온 사람이 약 1년간 부동산 통해서 2명 왔습니다. 겨울은 그냥 보낸다 해도 내년 봄에는 이사를 가고 싶은데 제가 여기서 할 수 있는 게 뭐가 있을까요?,,unknown,보증상품 보증상품 미확인 | 주택유형 미상 | 보증금구간 1억~2억 | 계약상태 계약종료 | 선순위권리 미상 | 반환보증 미상 | 분쟁유형 기타·일반문의 | 진행단계 상담·검토 | 상황 작년 11월 계약 종료 후 이사 간다고 의사를 표함 올해 4월 계약만료 되었지만 집주인이 간곡하게 요청하여 집이 나갈때까지 조금만 더 기다려주기로 함 현재 11월까지 집 보러 온 사람이 약 1년간 부동산 통해서 2명 왔습니다. 겨울은 그냥 보낸다 해도 내년 봄에는 이사를 가고 싶은데 제가 여기서 할 수 있는 게 뭐가 있을까요?,provided_synthetic_consultations
CASE-0157,G02,서울,중구,1억 미만,계약중(종료예정),미상,미상,미상,전세사기,상담·검토,"! 첨부된 전세 계약서 내용 토대로 계약 1번 년 2월 26에 만료가 되는 1. 부동산이 가진 전세계약서엔 일자가 다르게 기록되어있던데 문제가 있을까요? 2. 계약서상의 집주인이 아닌 항상 대리로 상대하시던 어머님에게 계약 종료 통보 했는데 계약서 상 집주인에게 따로 내용 증명이 필요한가요? (일짜가 다른 부동산 보관 전세계약서엔 어머니 관리인 전화번호 필기로 기입되어있음) 3. 내년 1월 22일에 이사가 예정 되어있어 그때까지 세입자를 구해야 돈을 준다는데 임차권 등기 명령은 이사일 기준인가요 계약 종료 기준인가요? 4. 임대인이 따님분이시라고 어머님이 계약 진행하시고 계속 시설물 정비나 기타 업무를 대리하신 점, 부동산이 가진 계약서 일짜가 다른 점 등 등기부등본상에는 깨끗하나(1달이내에 재확인때도 이상없었음) 수상한 점 이 있어 혹시 사기일까 걱정되는데 비슷한 사기 사례가 있을까요?",1. 건축물대장+등기부등본+계약서=전부 [호수]로 표기 / 그러나 현관문에는 [호수]로 되어 있음 / 면적상 방쪼개기같지는 않으나 별도의 확인은 필요합니다.,unknown,"보증상품 보증상품 미확인 | 주택유형 미상 | 보증금구간 1억 미만 | 계약상태 계약중(종료예정) | 선순위권리 미상 | 반환보증 미상 | 분쟁유형 전세사기 | 진행단계 상담·검토 | 상황 ! 첨부된 전세 계약서 내용 토대로 계약 1번 년 2월 26에 만료가 되는 1. 부동산이 가진 전세계약서엔 일자가 다르게 기록되어있던데 문제가 있을까요? 2. 계약서상의 집주인이 아닌 항상 대리로 상대하시던 어머님에게 계약 종료 통보 했는데 계약서 상 집주인에게 따로 내용 증명이 필요한가요? (일짜가 다른 부동산 보관 전세계약서엔 어머니 관리인 전화번호 필기로 기입되어있음) 3. 내년 1월 22일에 이사가 예정 되어있어 그때까지 세입자를 구해야 돈을 준다는데 임차권 등기 명령은 이사일 기준인가요 계약 종료 기준인가요? 4. 임대인이 따님분이시라고 어머님이 계약 진행하시고 계속 시설물 정비나 기타 업무를 대리하신 점, 부동산이 가진 계약서 일짜가 다른 점 등 등기부등본상에는 깨끗하나(1달이내에 재확인때도 이상없었음) 수상한 점 이 있어 혹시 사기일까 걱정되는데 비슷한 사기 사례가 있을까요? | 특이사항 1. 건축물대장+등기부등본+계약서=전부 [호수]로 표기 / 그러나 현관문에는 [호수]로 되어 있음 / 면적상 방쪼개기같지는 않으나 별도의 확인은 필요합니다.",provided_synthetic_consultations
CASE-0158,G02,경기,화성시,1억 미만,계약중(종료예정),미상,미상,미상,기타·일반문의,상담·검토,"9월 21일 계약금 천만원을 주고 우선 입주하였고 잔금을 주기로 한 일정은10월15일 이였습니다. 저의 사정으로 잔금일을 11월11일로 미루는 조건으로 중도금 천만원을 9월 24일 보내주었습니다. 약속된 11월 11일 전화하여 잔금을 주기로 한 날 분쟁으로 인해 \""믿지못하면 방을 빼서 나가달라\""는 통보를 문자로 받았습니다. 분쟁으로 인해 먼저 이사가면 보증금을 못 받을 것 같습니다. 도와주세요~",1. 칠천만원 중 이천만원만 지급한 상황 / 잔금일에 이체가 안되어 다음날 지급하기로 협의 및 통화녹음완료,unknown,"보증상품 보증상품 미확인 | 주택유형 미상 | 보증금구간 1억 미만 | 계약상태 계약중(종료예정) | 선순위권리 미상 | 반환보증 미상 | 분쟁유형 기타·일반문의 | 진행단계 상담·검토 | 상황 9월 21일 계약금 천만원을 주고 우선 입주하였고 잔금을 주기로 한 일정은10월15일 이였습니다. 저의 사정으로 잔금일을 11월11일로 미루는 조건으로 중도금 천만원을 9월 24일 보내주었습니다. 약속된 11월 11일 전화하여 잔금을 주기로 한 날 분쟁으로 인해 \""믿지못하면 방을 빼서 나가달라\""는 통보를 문자로 받았습니다. 분쟁으로 인해 먼저 이사가면 보증금을 못 받을 것 같습니다. 도와주세요~ | 특이사항 1. 칠천만원 중 이천만원만 지급한 상황 / 잔금일에 이체가 안되어 다음날 지급하기로 협의 및 통화녹음완료",provided_synthetic_consultations
